"Burst_Month","Position_Ancestor_A","11","12","1","2","3","4"
"9-10","0",0.139396257356497,0.846957162118728,0.013402217109493,0.000235186411897903,3.04667188422147e-06,6.13033150054232e-06
"11","0",0.000102305656540725,0.0435609150747911,0.677347344549131,0.264669382480248,0.00470844606330278,0.009611606175986
"12","0",3.98400368348473e-06,0.00177065853947419,0.0896555346643765,0.636846142612677,0.0722121040106246,0.199511576169164
"9-10","1",0.164029757354322,0.8246781263053,0.0110903862119527,0.0001941545177645,2.5150284607145e-06,5.06058220006711e-06
"11","1",0.000123929356744732,0.0522855170691994,0.705499296997321,0.23024046751199,0.00390309655417653,0.00794769251056826
"12","1",4.82617767519159e-06,0.00214415166706713,0.10650854452235,0.655869863614307,0.0648354340246179,0.170637179993983
