"Burst_Month","Nature_Ancestor_F","probability","number"
"8","0",3.99085655582655,25
"1","0",5.42675286990306,50
"2","0",4.24799024179504,97
"3","0",5.24813510465948,88
"8","1",4.10535082881263,8
"1","1",5.58244178425593,2
"2","1",4.36986146106404,191
"3","1",5.3986996275721,347
"8","2",4.04286438607209,9
"1","2",5.49747293665925,1
"2","2",4.30334897300712,90
"3","2",5.3165274700103,249
