"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0",0.949763544391358,43
"1-2","0","0",1.97036485497085,1
"8-9-10-11-12","1","0",1.2117731791662,43
"1-2","1","0",2.51392601719142,6
"8-9-10-11-12","0","1",1.04702027605852,7
"1-2","0","1",2.17213217602455,5
"8-9-10-11-12","1","1",1.33585995805299,23
"1-2","1","1",2.77135454193203,4
"8-9-10-11-12","0","2",1.30629994776866,0
"1-2","0","2",2.71002979882015,0
"8-9-10-11-12","1","2",1.66666666666667,3
"1-2","1","2",3.45764105639145,0
