"Nb_Inflorescences","Burst_Month","Nature_Ancestor_F","probability","number"
"1","12","0",0.370778136452492,13
"2","12","0",0.384058514840396,1
"3","12","0",0.487706125196626,2
"4","12","0",0.746305575211641,4
"5","12","0",0.513919581324764,5
"6","12","0",1.2284862323264,3
"1","1","0",0.241831023855975,19
"2","1","0",0.250492827740825,5
"3","1","0",0.318094461355173,5
"4","1","0",0.486759664659942,1
"5","1","0",0.335191550722209,0
"6","1","0",0.80125027381308,2
"1","2","0",0.272846747161389,54
"2","2","0",0.282619459433155,18
"3","2","0",0.358891252606623,6
"4","2","0",0.54918839210196,2
"5","2","0",0.378181106924494,3
"6","2","0",0.904013585131541,3
"1","3","0",0.418207032843856,8
"2","3","0",0.433186199883714,0
"3","3","0",0.550092121044976,0
"4","3","0",0.841770885387893,0
"5","3","0",0.579658728754964,0
"6","3","0",1.3856307360145,0
"1","4","0",0.270593513580739,14
"2","4","0",0.280285520461315,0
"3","4","0",0.355927442956746,0
"4","4","0",0.544653063240387,0
"5","4","0",0.375057997052176,0
"6","4","0",0.896548025110856,0
"1","12","1",0.290067278217185,2
"2","12","1",0.300456788368809,0
"3","12","1",0.381542422266748,0
"4","12","1",0.583850032235351,0
"5","12","1",0.402049742208815,0
"6","12","1",0.961069768427033,0
"1","1","1",0.189189329094559,11
"2","1","1",0.195965634465119,2
"3","1","1",0.24885176753964,0
"4","1","1",0.380801986936762,0
"5","1","1",0.262227168326702,0
"6","1","1",0.626834387592089,0
"1","2","1",0.213453560333262,29
"2","2","1",0.221098951932111,4
"3","2","1",0.280767927191138,1
"4","2","1",0.429641250289575,1
"5","2","1",0.295858772602698,1
"6","2","1",0.707228216365082,0
"1","3","1",0.327171868624582,2
"2","3","1",0.338890375694021,0
"3","3","1",0.430348255824624,0
"4","3","1",0.658534486264729,0
"5","3","1",0.453478814456282,0
"6","3","1",1.08400711016924,0
"1","4","1",0.211690809869656,1
"2","4","1",0.219273063999333,0
"3","4","1",0.278449278614609,0
"4","4","1",0.426093170267158,0
"5","4","1",0.293415500221796,0
"6","4","1",0.701387756902487,0
"1","12","2",2.26032940698057e-07,1
"2","12","2",2.34128895355258e-07,0
"3","12","2",2.97314320443414e-07,0
"4","12","2",4.54961140477214e-07,0
"5","12","2",3.13294509111474e-07,0
"6","12","2",7.48907037390518e-07,0
"1","1","2",1.47424489472808e-07,0
"2","1","2",1.52704879041014e-07,0
"3","1","2",1.93916036171369e-07,0
"4","1","2",2.96737341281675e-07,0
"5","1","2",2.04338725664291e-07,0
"6","1","2",4.88456405110336e-07,0
"1","2","2",1.66332225548283e-07,0
"2","2","2",1.72289844609962e-07,0
"3","2","2",2.18786485076038e-07,0
"4","2","2",3.34795002886986e-07,0
"5","2","2",2.30545923048357e-07,0
"6","2","2",5.511027457911e-07,0
"1","3","2",2.54946438748331e-07,0
"2","3","2",2.64078005155187e-07,0
"3","3","2",3.35345932109886e-07,0
"4","3","2",5.13158489976421e-07,0
"5","3","2",3.53370261567647e-07,0
"6","3","2",8.44705119292009e-07,0
"1","4","2",1.64958614317624e-07,0
"2","4","2",1.70867033938701e-07,0
"3","4","2",2.16979694046662e-07,0
"4","4","2",3.32030185820311e-07,0
"5","4","2",2.28642019772622e-07,0
"6","4","2",5.46551607739707e-07,0
