"Burst_Month","Nature_F","probability","number"
"9-10","0",0.173913043478267,46
"12","0",0.375000000000008,24
"1-2-3-4-5","0",0.89247311827957,93
"9-10","1",0.117647058823532,34
"12","1",0.295774647887326,71
"1-2-3-4-5","1",0.722448979591831,245
"9-10","2",4.72103196537603e-07,4
"12","2",0.709677419354853,31
"1-2-3-4-5","2",0.673575129533682,193
