"Burst_Month","Nature_Ancestor_F","probability","number"
"8-9","0",0.465517241379325,58
"11-12-1","0",0.846153846153853,65
"2-3","0",0.631399317406148,293
"8-9","1",0.888888888740977,9
"11-12-1","1",0.333333333333356,6
"2-3","1",0.651753325272058,827
"8-9","2",0.379310344827586,29
"11-12-1","2",0.200000000000048,5
"2-3","2",0.520673813169985,653
