"Burst_Month","Nature_Ancestor_F","probability","number"
"10","0",0.524590163934426,61
"12-1-2-3-4","0",0.883146067415731,445
"5","0",0.166666666666658,6
"10","1",0.999999527896802,1
"12-1-2-3-4","1",0.695876288659794,194
"5","1",4.72103185526459e-07,1
"10","2",4.72103191702701e-07,2
"12-1-2-3-4","2",0.700000000000003,10
"5","2",0.99997755755024,0
