"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8","0","0",3.77920338700774,50
"9","0","0",3.746840050023,18
"10-11","0","0",1.7579196344057,43
"12","0","0",1.83333333333332,6
"1","0","0",1.00616546975135,1
"2","0","0",1.12535187899947e-08,6
"8","1","0",2.88352443087085,34
"9","1","0",1.89691993568471,14
"10-11","1","0",1.70818911441109,50
"12","1","0",0.999999999999999,2
"1","1","0",0.832305755041446,6
"2","1","0",9.2803240724738e-09,0
"8","0","1",4.67994354987014,3
"9","0","1",5.27843954979299,2
"10-11","0","1",2.14094557205547,10
"12","0","1",1.51187577292372,0
"1","0","1",0.798766906049737,5
"2","0","1",1.12535142867617e-08,1
"8","1","1",4.33001411253239,12
"9","1","1",3.240520150069,6
"10-11","1","1",2.52271324151712,26
"12","1","1",0.999999999999996,4
"1","1","1",0.801233093950273,5
"2","1","1",1.12535176253065e-08,8
"8","0","2",7.86371708152929,0
"9","0","2",9.87611543201624,0
"10-11","0","2",2.40126368074537,0
"12","0","2",2.74999999999997,0
"1","0","2",2.87071948124463,0
"2","0","2",1.36462536293005e-08,0
"8","1","2",5.99999999999992,7
"9","1","2",5,3
"10-11","1","2",2.33333333333333,3
"12","1","2",1.49999999999999,2
"1","1","2",2.37467535627114,0
"2","1","2",1.12535162039873e-08,2
