"Burst_Month","Nature_F","108","109","110","111","101","102","103"
"10-11-12","0",6,2,0,0,0,0,9
"1","0",7,10,0,0,0,0,2
"2","0",42,3,1,1,0,2,2
"3-4-5","0",2,6,0,0,2,0,3
"10-11-12","1",0,0,0,0,1,4,20
"1","1",1,2,1,7,0,8,23
"2","1",7,1,0,7,4,42,39
"3-4-5","1",0,0,0,2,0,9,24
"10-11-12","2",0,0,0,0,0,5,17
"1","2",0,0,0,1,0,4,26
"2","2",1,0,0,0,3,37,47
"3-4-5","2",0,0,0,0,0,1,10
