"Flowering_Week","probability","number"
"1-2-3",0.349999999999978,40
"4",0.238095238095212,105
"5-6",0.321311475409809,610
"7-8-9",0.170798898071612,363
"10",0.121212121212152,33
"11-12",1.73677028179538e-07,15
