"Burst_Month","Nb_Inflorescences","probability","number"
"8","1",8.31528717432997e-08,6
"1","1",0.302647194221905,11
"2","1",0.237734723624689,106
"3","1",0.218956791107049,162
"8","2",3.43994210886602e-07,0
"1","2",1.25201788670392,2
"2","2",0.98348219296718,2
"3","2",0.905799968131597,5
"8","3",3.2059282880549e-07,0
"1","3",1.16684509015124,1
"2","3",0.916577454924419,2
"3","3",0.844179828976716,0
"8","5",9.15839447502467e-08,0
"1","5",0.333333333333367,3
"2","5",0.261839228606233,0
"3","5",0.24115735559133,0
