"Position_A","Nature_Ancestor_F","probability","number"
"0","0",0.0308264995541754,133
"1","0",0.320149817606669,134
"0","1",0.012695570627777,490
"1","1",0.131850345633708,59
"0","2",0.00772116988958674,348
"1","2",0.08018851207926,4
