"Position_A","Nature_Ancestor_F","probability","number"
"0","0",4.73067991328853,129
"1","0",4.84536100178508,131
"0","1",5.00882480194459,489
"1","1",5.13024867565923,59
"0","2",5.02152742911148,345
"1","2",5.143259239769,4
