"Position_A","Position_Ancestor_A","Nature_Ancestor_F","11","12","1","2","3","4"
"0","0","0",0.112851381330651,0.478704515121166,0.161942763904634,0.21902147527409,0.00943137133543348,0.0180484930340264
"1","0","0",0.0496206546594632,0.323205352528725,0.18364367860264,0.37912125038595,0.0215472499019067,0.0428618139213159
"0","1","0",0.0985721533603029,0.455997291265305,0.169773892797354,0.243832467155356,0.0108902955130427,0.020933899908639
"1","1","0",0.0429547076189062,0.295237094830076,0.180698232473961,0.406963493081682,0.0246323809674374,0.0495140910279377
"0","0","1",0.021152519642853,0.176302843703156,0.144337177925099,0.51559525260531,0.0449790246787106,0.0976331814448712
"1","0","1",0.00879158264625589,0.08293042097318,0.0839674325904703,0.535927063388914,0.079767890522589,0.20861560987859
"0","1","1",0.0182375408041123,0.156340140478346,0.134044923892124,0.529253686703109,0.0503304498683528,0.111793258253956
"1","1","1",0.00756686719812926,0.0723087208342457,0.074971442303343,0.524766763646539,0.0857006105014733,0.23468559551627
"0","0","2",0.116909449855561,0.484253680103837,0.159673639345593,0.21273014235474,0.00907851811641569,0.0173545702238536
"1","0","2",0.0515370720789655,0.3306679629234,0.184092105603501,0.37165754928826,0.0207913535150813,0.0412539565907923
"0","1","2",0.102175887701835,0.462230157588778,0.167834905813387,0.237141905937537,0.0104858287194205,0.0201313142390421
"1","1","2",0.0446257657243207,0.302556095862304,0.181663287767356,0.39970219461473,0.0237835381837141,0.0476691178475745
