"Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","1","3","4","5","6","7","8","9","10"
"1","0","0","0",0.00804268840338955,0.020040291516784,0.0238913613113822,0.0867405358329583,0.212408001229349,0.257954048322799,0.215257921322167,0.102902213891291,0.0727629381698801
"2","0","0","0",0.00883654772155707,0.0219569765668645,0.0260624377460217,0.0935946074431584,0.222594915205034,0.258387034491235,0.206229013528513,0.0957264532681421,0.0666120140294746
"3","0","0","0",0.0341879292915176,0.0778305878335568,0.0811095586571181,0.219724592091162,0.289748002129626,0.169231214974647,0.0816295303685295,0.0288818332564799,0.0176567513973626
"5","0","0","0",0.0101681048994448,0.0251477290356177,0.0296334521131049,0.104523599797813,0.237264426574907,0.257017269471478,0.192267295395457,0.0856537012990733,0.0583244214131052
"1","1","0","0",0.00696709624381287,0.0174261012769138,0.0208985909385074,0.077026910284895,0.19659777456154,0.255229043227924,0.228252283667636,0.114456488053975,0.0831457117447962
"2","1","0","0",0.00765560783116993,0.0191018041062942,0.0228211714496479,0.0833026575783039,0.207000280612819,0.257296047752015,0.219841734265766,0.106791485178784,0.0761892112251999
"3","1","0","0",0.0297205546566492,0.0686967338633102,0.0731642274325494,0.206703559388713,0.293234144865461,0.183262135177181,0.0918238376847426,0.0330459932350459,0.0203488136963488
"5","1","0","0",0.00881079402805342,0.0218949664723553,0.0259925032462687,0.0933763168637791,0.222282450294132,0.258389918959579,0.20651375180058,0.0959439648070476,0.0667953335282052
"1","0","1","0",0.0081479372115091,0.0202950245002279,0.0241810309779546,0.0876643053007332,0.213826730223962,0.25807832169727,0.21403149189221,0.101891625644379,0.0718835325517546
"2","0","1","0",0.00895209143438865,0.0222350448585944,0.0263757899329752,0.0945706672420245,0.223982571235431,0.258361512891776,0.204958394312542,0.0947622557479386,0.0658016723443297
"3","0","1","0",0.0346233796136674,0.078705590304193,0.0818498611835824,0.220854751377809,0.289298644369782,0.167957178785412,0.0807501804347442,0.0285295803404977,0.0174308335903117
"5","0","1","0",0.0103008786566408,0.0254642396858599,0.0299847511243967,0.105575921108334,0.238578213117001,0.256769659587223,0.190956165393077,0.0847614947910589,0.0576086765364081
"1","1","1","0",0.00705836971590616,0.0176487144544029,0.021154868202584,0.0778709059560087,0.19803741028147,0.25557690488307,0.227120658366904,0.113380229364942,0.0821519387747125
