"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"0","0","0",0.148935515060756,40
"1","0","0",0.879391297556504,78
"0","1","0",0.223931312406801,115
"1","1","0",1.32220476291781,117
"0","0","1",0.121377418757108,46
"1","0","1",0.716674231336498,4
"0","1","1",0.18249646276606,46
"1","1","1",1.07755226230527,2
"0","0","2",0.207695700699249,0
"1","0","2",1.22634142474556,0
"0","1","2",0.312279920741942,1
"1","1","2",1.84386003962906,2
