"Position_A","Nature_F","3","5","6","7","8","9","10","11","12","13","14","15","17"
"0","0",2,5,31,8,9,3,1,0,1,2,0,3,4
"1","0",0,1,11,2,6,0,4,2,1,0,2,2,0
"0","1",0,0,3,1,1,3,6,11,25,22,19,11,4
"1","1",0,0,4,3,1,6,8,10,25,26,8,5,0
"0","2",0,0,1,0,0,0,0,3,10,11,4,3,0
"1","2",0,0,0,0,0,0,1,6,32,40,27,14,0
