"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"0","0","0",410.84233146209,15.2391565638332,16
"1","0","0",393.794886422758,11.8691189155576,39
"0","1","0",407.444001510938,12.4440664783365,38
"1","1","0",390.396556471605,9.59451493977967,75
"0","0","1",406.632048157782,19.3401039445943,1
"1","0","1",389.58460311845,14.2165056696255,25
"0","1","1",403.23371820663,18.5049842285402,5
"1","1","1",386.186273167297,14.1088514600967,23
"0","0","2",341.398329951152,92.719697414582,0
"1","0","2",324.35088491182,93.6504289458967,0
"0","1","2",338,91.8092723880873,1
"1","1","2",320.952554960668,92.9029541235724,0
