"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"0","0","0",1.08508836564508,40
"1","0","0",1.21699460380273,78
"0","1","0",1.07086285949003,115
"1","1","0",1.20103980714727,117
"0","0","1",1.16211613044312,46
"1","0","1",1.30338606930007,4
"0","1","1",1.14688079045615,46
"1","1","1",1.28629868071654,2
"0","0","2",1.24976255592528,0
"1","0","2",1.40168702821872,0
"0","1","2",1.23337817148752,1
"1","1","2",1.38331091427381,2
