"Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1","0","0","0",0.229522301168484,63
"2","0","0","0",0.460171059052271,1
"3","0","0","0",0.325158516340173,0
"4","0","0","0",0.388415691821336,1
"5","0","0","0",0.759598324216649,0
"6","0","0","0",0.740255485722815,0
"1","1","0","0",0.437286579817417,53
"2","1","0","0",0.689797931092942,11
"3","1","0","0",0.556918155648636,4
"4","1","0","0",0.623598919564956,6
"5","1","0","0",0.891804523493352,2
"6","1","0","0",0.881438735636135,3
"1","0","1","0",0.249850059409744,132
"2","0","1","0",0.487988400413121,5
"3","0","1","0",0.350107517597191,2
"4","0","1","0",0.415231875789536,0
"5","0","1","0",0.779383441198127,0
"6","0","1","0",0.761131917742813,0
"1","1","1","0",0.464911938706298,88
"2","1","1","0",0.713158349571707,19
"3","1","1","0",0.584254205590579,17
"4","1","1","0",0.649410842132267,5
"5","1","1","0",0.902111211780659,6
"6","1","1","0",0.892613965283938,6
"1","0","0","1",0.229023845322243,21
"2","0","0","1",0.459470411462473,0
"3","0","0","1",0.324539851089415,0
"4","0","0","1",0.387745823590047,0
"5","0","0","1",0.759082843307898,0
"6","0","0","1",0.739712741258518,0
"1","1","0","1",0.436592595657351,36
"2","1","0","1",0.689194021246767,7
"3","1","0","1",0.556221981292816,1
"4","1","0","1",0.622936580127657,1
"5","1","0","1",0.891532045155693,0
"6","1","0","1",0.881143631397216,0
"1","0","1","1",0.249321742936392,25
"2","0","1","1",0.487283630199092,0
"3","0","1","1",0.34946596492551,0
"4","0","1","1",0.414547107722336,0
"5","0","1","1",0.778898035764104,0
"6","0","1","1",0.760618688924956,0
"1","1","1","1",0.464210279974663,36
"2","1","1","1",0.712580968754276,3
"3","1","1","1",0.583568865878981,1
"4","1","1","1",0.648768340775792,0
"5","1","1","1",0.901861833354656,2
"6","1","1","1",0.892343279353806,0
"1","0","0","2",0.0956236702424338,0
"2","0","0","2",0.232282291254535,0
"3","0","0","2",0.146043006905536,0
"4","0","0","2",0.183953046911628,0
"5","0","0","2",0.528634615975853,0
"6","0","0","2",0.502870518054834,0
"1","1","0","2",0.216192138169898,0
"2","1","0","2",0.441114562960232,0
"3","1","0","2",0.308497957855973,0
"4","1","0","2",0.37029241832796,0
"5","1","0","2",0.745260570189728,0
"6","1","0","2",0.725181483295223,0
"1","0","1","2",0.105719814226131,5
"2","0","1","2",0.252774294839912,0
"3","0","1","2",0.160517682438238,0
"4","0","1","2",0.201299373901814,0
"5","0","1","2",0.55632548585504,0
"6","0","1","2",0.530731359338569,0
"1","1","1","2",0.235700464456703,2
"2","1","1","2",0.468780290414547,0
"3","1","1","2",0.332799032489525,0
"4","1","1","2",0.396668910815414,0
"5","1","1","2",0.765861965299642,0
"6","1","1","2",0.746855146809992,0
