"Has_Apical_GU_Child","Position_A","Nature_F","probability","number"
"0","0","0",0.560045458721097,7
"1","0","0",0.882732886472537,22
"0","1","0",1.03292422737438,5
"1","1","0",1.62807531163586,39
"0","0","1",0.914345215100312,44
"1","0","1",1.44117335189356,0
"0","1","1",1.68637975748909,39
"1","1","1",2.65803935704893,0
"0","0","2",1.0611955476766,7
"1","0","2",1.67263602324624,0
"0","1","2",1.95722431832602,12
"1","1","2",3.08493934748709,1
