"Nb_Inflorescences","Position_A","Nature_Ancestor_F","probability","number"
"1","0","0",0.288617901846572,37
"2","0","0",0.947770248986538,2
"3","0","0",1.00533520613936,0
"5","0","0",0.295515285812495,0
"1","1","0",0.325553268818836,33
"2","1","0",1.06905947508008,6
"3","1","0",1.13399120610097,2
"5","1","0",0.333333333333332,3
"1","0","1",0.18630954029309,115
"2","0","1",0.611807646935282,0
"3","0","1",0.648967160033794,0
"5","0","1",0.190761961392732,0
"1","1","1",0.210152175130125,15
"2","1","1",0.690102651546619,1
"3","1","1",0.732017587798106,1
"5","1","1",0.215174386967549,0
"1","0","2",0.211764705882355,85
"2","0","2",0.695397917927398,0
"3","0","2",0.737634474089036,0
"5","0","2",0.216825453942528,0
"1","1","2",0.238864920642062,0
"2","1","2",0.784390240046247,0
"3","1","2",0.832031944992814,0
"5","1","2",0.244573309009925,0
