"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"0","0","0",0.775479465249321,84
"1","0","0",0.931420050318495,86
"0","1","0",0.73820007055263,184
"1","1","0",0.917270799914607,158
"0","0","1",0.582682148183412,40
"1","0","1",0.845924775553935,49
"0","1","1",0.532681747903144,57
"1","1","1",0.817590800510398,50
"0","0","2",0.585996109410006,0
"1","0","2",0.847694713380016,0
"0","1","2",0.536076635109799,10
"1","1","2",0.819616818634566,2
