"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","4","5","9","10","11","12"
"0","1","0","0","0",0.0198681399013501,0.103434743014339,0.360000178682369,0.224645458212744,0.0216879449286255,0.00366305917084042,0.00359959614423078,0.0952782468417279,0.167822633103774
"1","1","0","0","0",0.106166680842812,0.345619320944441,0.393911669858514,0.0885288331832195,0.00629611461093904,0.00103469657180177,0.00100893685919445,0.0241616713135969,0.0332720758154812
"0","2","0","0","0",0.00802696023498251,0.0451323231343591,0.218715199854719,0.219906492460557,0.0268250758048421,0.004654067487319,0.00460924603966295,0.136497897550459,0.3356327374331
"1","2","0","0","0",0.0452680409991232,0.202271624999001,0.438771098688916,0.163763242523823,0.0131723772781729,0.00218668748291262,0.0021382845218425,0.053054296424521,0.0793743470816877
"0","3","0","0","0",0.0139905738777835,0.075633781011875,0.306049195578213,0.233513039284764,0.0246771585358828,0.00420857554352905,0.00414723079429091,0.114113842788538,0.223666602585124
"1","3","0","0","0",0.076758875055373,0.289066202758318,0.427409760692514,0.115375962312609,0.00853068032880755,0.00140622007890689,0.00137238320790234,0.0332149494943006,0.0468649660712698
"0","5","0","0","0",0.00744747582256865,0.0420366527235907,0.207701570361147,0.215742350119427,0.0268079105650727,0.004662159845012,0.00462049558563238,0.13830668204248,0.35267470293507
"1","5","0","0","0",0.0421141796733919,0.191629394418689,0.436085698519895,0.170364007048387,0.0138914784639069,0.00230881147068618,0.00225846330535684,0.0562772201608494,0.0850707469388376
"0","9","0","0","0",0.000197547672386242,0.00117148463907154,0.00766594363988189,0.0140476449242587,0.00254845605741536,0.000469888052178305,0.000474033609600008,0.0195302982748483,0.95389470313036
"1","9","0","0","0",0.00115641629023311,0.00681238499101764,0.0427448530414905,0.0708974216961622,0.0119394678842598,0.00217276159403737,0.0021830262497137,0.0827983120961738,0.779295356156912
"0","10","0","0","0",0.000227154058600723,0.00134677815734824,0.00880136736325346,0.0160759640952141,0.00290919619346077,0.000536160090771651,0.000540814098202447,0.0222153124920868,0.947347253451062
"1","10","0","0","0",0.0013295368120181,0.00782288365427057,0.0487234132742596,0.0794615317251088,0.0132187986783003,0.00240058859540129,0.00241038659309639,0.0902943615240124,0.754338499143533
"0","11","0","0","0",0.111699067942961,0.354241182491699,0.387050709471931,0.0846529410643602,0.00598872465316524,0.000983779353065262,0.000959178292022966,0.0229379733753795,0.0314864433554158
"1","11","0","0","0",0.424227797781545,0.412162325532526,0.135037199764766,0.017350407670515,0.00113064989054823,0.000184608316073698,0.000179688131496825,0.00420964971378013,0.00551767319874863
"0","12","0","0","0",0.0428158371522459,0.194032666479513,0.436785901628796,0.168862278912276,0.0137255148602401,0.00228059392813773,0.00223068636338952,0.0555293175025665,0.0837372031728354
"1","12","0","0","0",0.207670102305288,0.437534185654043,0.278426304579937,0.0454506045716433,0.00305917350298235,0.00050065935448429,0.00048763172957389,0.0115139269510649,0.0153574113509837
"0","1","1","0","0",0.0170856520204953,0.0905395829118585,0.337465647601199,0.230093479786784,0.0230840378522471,0.00391458304173353,0.00385120992770704,0.103567579089672,0.190398227768303
"1","1","1","0","0",0.0924381241537844,0.321630645510766,0.410488629034237,0.099569607822203,0.00719180751299597,0.00118331953548512,0.00115424782322926,0.0277564965171384,0.0385871220901612
"0","2","1","0","0",0.00689114323672127,0.0390417997322941,0.196599319089394,0.21095453299384,0.0267099015783158,0.00465654444608021,0.00461828095653388,0.139802663539057,0.370725814427763
"1","2","1","0","0",0.0390701521813413,0.180959993636915,0.432281179771379,0.177101047760742,0.0146547004578539,0.00243883397575739,0.00238652658603788,0.0597495392405828,0.0913580263893909
"0","3","1","0","0",0.0120211301208215,0.0658274722791088,0.28171970855311,0.233102054821878,0.0256330394071591,0.00439145035763122,0.00433312881285308,0.121487833346093,0.251484182301345
"1","3","1","0","0",0.0665499484243806,0.264401977964865,0.435936189998146,0.128131890329635,0.00966622682823592,0.00159600230207502,0.00155830851069305,0.0379298543268797,0.0542296013150901
"0","5","1","0","0",0.0063931275615971,0.0363417033431997,0.186195509127548,0.205915474951547,0.0265388800607124,0.00463767022971362,0.00460277921475105,0.14086720337918,0.388507652131751
"1","5","1","0","0",0.036331670514457,0.171013089793194,0.42764876880759,0.183467229030488,0.0154070750524891,0.00256744106648565,0.0025133151376473,0.0632283442199111,0.0978230663777383
"0","9","1","0","0",0.000169405427604199,0.00100479328706659,0.00658344120846577,0.0121014337080278,0.00220059413333605,0.000405923909963656,0.000409560432299425,0.0169224012100698,0.960202446683167
"1","9","1","0","0",0.000991811053989344,0.00584934598142827,0.036963229096554,0.06231811232433,0.010620939762489,0.00193677696866536,0.00194715866589179,0.0747755335503912,0.804597092596261
"0","10","1","0","0",0.000194794969223269,0.00115518277516059,0.00756019892424383,0.0138580643133265,0.00251464497041249,0.000463673426139902,0.000467770311379869,0.0192776254870831,0.95450804482303
"1","10","1","0","0",0.00114031759212917,0.00671829458924912,0.042183611309669,0.0700775396581583,0.0118150459719984,0.00215054280909233,0.0021608339201773,0.0820539646934975,0.781699849456029
"0","11","1","0","0",0.0973330135740812,0.330630808038602,0.404688359003945,0.0953765369725624,0.00684803642815979,0.00112623154547975,0.00109841954509027,0.0263715732623336,0.0365270216297456
"1","11","1","0","0",0.38718635024774,0.427068390563298,0.152582488962214,0.0201002056432914,0.00131385761218028,0.000214568596875298,0.000208862531617893,0.00489669932504122,0.00642857651774253
"0","12","1","0","0",0.0369407019424656,0.173254513004579,0.428788538884561,0.182026922794866,0.0152339643024464,0.00253781098028405,0.0024840931623541,0.0624227911112529,0.0963106638171912
"1","12","1","0","0",0.183510775317915,0.425775134740735,0.302771341741311,0.0520708733166561,0.00353288726505352,0.000578527020982267,0.000563565323700721,0.013333333933454,0.0178635613401921
"0","1","0","1","0",0.0229909411111645,0.117364159197004,0.380223625203201,0.217230966426256,0.0202283325454495,0.00340406949584171,0.00334159938624701,0.0872084512456798,0.148007855389156
"1","1","0","1","0",0.121176601288551,0.367754439090312,0.375245615427102,0.0786436028670017,0.00551897419880998,0.000906053233082349,0.000883243992440108,0.0210774998916885,0.0287939700110126
"0","2","0","1","0",0.0093062798555118,0.0518817230557331,0.241198561011265,0.226654454356913,0.0266352896448052,0.00459955481139618,0.00454900130071334,0.131951016170834,0.303224119792829
"1","2","0","1","0",0.0521706045383956,0.224186644644664,0.441144243229434,0.150609131995879,0.0118115401132488,0.00195652821291892,0.00191205175231335,0.0470742003526792,0.0691350551604671
"0","3","0","1","0",0.0162048345784543,0.0863590392232793,0.329275369733771,0.231431238583624,0.0235379853957219,0.00399742625388355,0.00393437387510587,0.106425997685804,0.198833734670355
"1","3","0","1","0",0.0880205296312306,0.313052653055147,0.415561239484036,0.103631350384741,0.00752920754432385,0.00123940600251748,0.0012091120694846,0.0291222177319738,0.0406342840965469
"0","5","0","1","0",0.00863524244488484,0.0483559517470765,0.229707179274735,0.223495268019495,0.0267682735690694,0.00463346706496792,0.00458572073411445,0.134407230747158,0.319411666398499
"1","5","0","1","0",0.048560296248739,0.212952960881313,0.440433833125087,0.157274637631077,0.0124899574219492,0.00207111878586119,0.00202464605586061,0.0500367399517976,0.0741558098983152
"0","9","0","1","0",0.000229320864722828,0.00135960455942687,0.00888432931989528,0.0162236458759405,0.00293538985007372,0.000540969760193816,0.000545659911414319,0.0224095024382433,0.946871577420089
"1","9","0","1","0",0.00134220505019727,0.00789673293388499,0.0491568496210134,0.0800704900200058,0.0133083400273554,0.00241649002579924,0.00242624171538355,0.0908080994958131,0.752574551110547
"0","10","0","1","0",0.000263687829965477,0.00156298819308614,0.0101976796279997,0.0185521412624682,0.00334709325182755,0.000616523527448579,0.00062176789021505,0.025447978719356,0.939390139697633
"1","10","0","1","0",0.00154309598474206,0.00906609912122182,0.0559576243072411,0.0894183346393609,0.0146586165467013,0.00265553697572879,0.00266436218510027,0.0983764830146794,0.725659847225224
"0","11","0","1","0",0.127379694175461,0.375801190190511,0.367549137219461,0.0750870235201722,0.00524473894860156,0.00086072445698393,0.000838972913533298,0.0199966241854036,0.0272418943898731
"1","11","0","1","0",0.461012429444551,0.394781265725244,0.119495406629794,0.0150287624977262,0.000976846700734835,0.000159466791092577,0.000155208832336662,0.00363394662485705,0.00475666675366371
"0","12","0","1","0",0.0493638167771476,0.21549574388636,0.440685229454202,0.155751350197088,0.0123329823182784,0.00204457818082671,0.00199856063094317,0.0493480209198838,0.0729797176352702
"1","12","0","1","0",0.233285219737744,0.445282817174182,0.2549422063711,0.0397410950586329,0.00265682818202728,0.000434596854492764,0.000423230048178791,0.00997662274084743,0.0132573838327953
"0","1","1","1","0",0.01977993794859,0.103033095313607,0.359356572799872,0.224839508044429,0.0217309760208402,0.00367074986030613,0.00360727263588656,0.0955243566008616,0.168457530775608
"1","1","1","1","0",0.10573669807311,0.344925294626942,0.394442410004716,0.0888426277867929,0.00632115658912347,0.00103884658019981,0.00101299296523238,0.0242615831169088,0.0334183902569756
"0","2","1","1","0",0.00799089704224602,0.0449403741619281,0.218045561715515,0.219669684801824,0.0268262025402673,0.0046549280949334,0.00461029223038745,0.136616393795878,0.336645665617021
"1","2","1","1","0",0.045072264926611,0.201622875169923,0.438637554821633,0.164161875178115,0.0132150641690993,0.00219392694318687,0.0021454059228071,0.053244351458601,0.0797066814100237
"0","3","1","1","0",0.013928093806146,0.0753265858166102,0.305333982674202,0.23353825509818,0.0247087678650385,0.00421451929626726,0.00415324554827379,0.114340766577689,0.224455783317593
"1","3","1","1","0",0.0764378106577843,0.288334820532486,0.427716721182302,0.115743823216686,0.00856270169680862,0.00141156235457984,0.00137761434462169,0.0333468008955959,0.0470681451191357
"0","5","1","1","0",0.00741399665486369,0.0418570630007319,0.20704841442123,0.215477233809564,0.0268044464589537,0.00466222331872568,0.00462075319232469,0.138404188585086,0.353711680558521
"1","5","1","1","0",0.0419314444214846,0.191000101291944,0.435893065811219,0.170758250078356,0.0139352891899742,0.0023162635580064,0.00226579993524778,0.0564750671297765,0.0854247185839917
"0","9","1","1","0",0.000196653165049087,0.00116618731925266,0.00763158456656554,0.0139860581981584,0.00253747402199148,0.000467869564848591,0.000471999332312907,0.0194482477554891,0.954093926076332
"1","9","1","1","0",0.00115118496930581,0.00678181232371542,0.0425625752894066,0.0706314462764058,0.0118991414956569,0.00216556142467067,0.00217583501396984,0.0825573551825968,0.780075088024272
"0","10","1","1","0",0.000226125522147047,0.00134068960415843,0.00876198059491746,0.0160058263296009,0.00289675275457699,0.000533875116879107,0.000538511917123032,0.0221230248949543,0.947573213265643
"1","10","1","1","0",0.00132352337743431,0.00778782391885747,0.0485174752365303,0.0791716380964739,0.0131761055602553,0.00239300473340462,0.00240282416762308,0.0900489027459808,0.75517870216344
"0","11","1","1","0",0.111249467399785,0.353561416523669,0.387609955205086,0.0849571348318091,0.00601272253382301,0.000987752855612922,0.000963060941321814,0.0230333273783542,0.0316251623305391
"1","11","1","1","0",0.42311943372006,0.412648584103481,0.135533042994153,0.01742618916325,0.0011356837142189,0.000185431329646435,0.000180489509222892,0.00422850845477274,0.00554263701119495
"0","12","1","1","0",0.0426301928729333,0.19339881838543,0.436606652657221,0.169257744908238,0.0137690801664623,0.00228799911428001,0.00223797540040838,0.0557254004758077,0.0840861360192194
"1","12","1","1","0",0.206924192900921,0.437240309167998,0.279145289531087,0.0456351071854475,0.003072269748571,0.000502810806916165,0.000489729400882988,0.011564088362809,0.0154262028953669
"0","1","0","0","1",0.0358008556304288,0.169045659747026,0.42660084160286,0.184733693685105,0.0155607770939443,0.00259376935357969,0.00253928637530121,0.0639462304699774,0.0991788860417772
"1","1","0","0","1",0.178687473599777,0.42282870075052,0.307897079123591,0.0535728509841433,0.00364146745931548,0.000596388508566581,0.000580986795769012,0.0137518180942741,0.0184432346840437
"0","2","0","0","1",0.0146054638509611,0.0786435388668599,0.312904586492926,0.233155015430783,0.0243636238889946,0.00414990305605945,0.0040879331913205,0.111908781238812,0.216181153983283
"1","2","0","0","1",0.0799088795462546,0.296097547219992,0.424293722246255,0.111870010225171,0.00822754147232063,0.00135567242490298,0.00132289434194466,0.0319698233982652,0.0449539091248943
"0","3","0","0","1",0.0253317528325267,0.127444988812263,0.392528302899655,0.211266215071654,0.0192207174953396,0.00322710920111868,0.00316581946392036,0.0819033429357926,0.13591175128773
"1","3","0","0","1",0.132161863182103,0.381603178855268,0.361657529121035,0.072524280345275,0.00504882588644684,0.000828362589083032,0.000807371849837035,0.0192267793802873,0.0261418087906647
"0","5","0","0","1",0.013557553199887,0.0734995348072574,0.301019580347811,0.233642070459575,0.0248950050874661,0.00424965741311822,0.00418883505550882,0.115696967306803,0.229250796322574
"1","5","0","0","1",0.0745299661619022,0.283931385090517,0.429496010440883,0.11797158433242,0.008757511549492,0.00144407499211963,0.001409453765437,0.03415030593041,0.048309707736819
"0","9","0","0","1",0.000361788309943515,0.00214301393642466,0.0139211180583122,0.0250580783804834,0.00448447847408655,0.000824823100513905,0.000831460928993756,0.033707494141569,0.918667744669673
"1","9","0","0","1",0.00211617053651109,0.0123841668697869,0.0746323032450021,0.113161396014841,0.0178752459328968,0.00321865532155854,0.00322335116531702,0.114955207820663,0.658433503093424
"0","10","0","0","1",0.000415999129425286,0.0024632009840955,0.0159626309154568,0.0285659594188915,0.00508977583798018,0.000935414616310803,0.000942709981647645,0.0380220513664653,0.907602257749727
"1","10","0","0","1",0.00243262049924013,0.0142052052401074,0.0845047245979412,0.124629642765446,0.0193124476794735,0.00346680139986535,0.0034686167188967,0.121617484442931,0.626362456656098
"0","11","0","0","1",0.187207442879781,0.42789066371086,0.298903088648496,0.0509640785416752,0.00345314032014332,0.000565411811993211,0.000550774071635174,0.0130263256440609,0.0174390743713549
