"is_loaded","burst_date_mother","position_mother_L","position_ancestor_L","nature_ancestor_V","1","2","3","10","11","12"
"0","1","0","0","0",0.507670160168185,0.309627530240883,0.158348961750441,0.000397254009298575,0.0189922080866605,0.0049638857445311
"1","1","0","0","0",0.0884512190495131,0.207796242890565,0.494105485682591,0.00277890959134386,0.15652380141274,0.0503443413732468
"0","2","0","0","0",0.486343854583248,0.317867137869258,0.169323988639586,0.000430780624618321,0.0206306239623321,0.00540361432095793
"1","2","0","0","0",0.081809228572954,0.196964418601462,0.497091873815264,0.00291719349434116,0.166633686301643,0.0545835992143364
"0","8","0","0","0",0.241481061487486,0.338546254791711,0.345171254316888,0.00115805282651438,0.0577421561828628,0.0159012203945371
"1","8","0","0","0",0.0290867699806795,0.0859299314365264,0.422859208906488,0.00418647150916884,0.311391766966157,0.14654585120098
"0","9","0","0","0",0.490526764696052,0.316306728124803,0.167129403710316,0.000423998544844317,0.0202987211420794,0.00531438378190474
"1","9","0","0","0",0.0830755663680236,0.199076378919602,0.496611302602495,0.00289009238110338,0.164620537268997,0.0537261224597795
"0","10","0","0","0",0.650879095715628,0.239084358825356,0.0964185785421536,0.000224541460334793,0.0106418128885231,0.00275161256800527
"1","10","0","0","0",0.149253075052072,0.282915440677002,0.43988924611033,0.00186865477003861,0.0975873855162214,0.0284861978743368
"0","11","0","0","0",0.855319632048514,0.107152110774213,0.0331932880386321,7.21391452340736e-05,0.00339344559454269,0.000869384398864192
"1","11","0","0","0",0.357454702765599,0.349581655491391,0.248742325402568,0.00070688758127968,0.0343523553427245,0.00916207341643771
"0","12","0","0","0",0.233548958227055,0.335772473094867,0.352788716865837,0.00120190362432249,0.0600865569162452,0.0166013912716723
"1","12","0","0","0",0.0278749489215166,0.0827578297597817,0.416339027647513,0.00419915215611866,0.316719572242672,0.152109469272398
"0","1","1","0","0",0.532388073267487,0.299238076586374,0.146266333470783,0.000361436344164745,0.017248200352619,0.00449787997857209
"1","1","1","0","0",0.0967697546374747,0.220536108506521,0.48898785692601,0.00261869830004102,0.145273373055281,0.045814208574673
"0","2","1","0","0",0.511101358004282,0.30823755413893,0.156631839276743,0.000392095355533084,0.0187406229052762,0.00489653031923609
"1","2","1","0","0",0.0895644834086382,0.209553394989255,0.493500942968487,0.00275665105599388,0.154932561685336,0.0496919658922899
"0","8","1","0","0",0.260085192082288,0.343861335566388,0.327824784512343,0.00106368273968183,0.0527416954442534,0.014423309655046
"1","8","1","0","0",0.0320183866929272,0.0934712984546574,0.436894871149143,0.00414337488673677,0.298886040681686,0.13458602813485
"0","9","1","0","0",0.515283593470086,0.306520086620011,0.154556558906787,0.000385891350005996,0.0184382368762387,0.00481563277687191
"1","9","1","0","0",0.0909389765866614,0.211700287451644,0.492717818232667,0.00272952454966269,0.153006034569577,0.0489073586097885
"0","10","1","0","0",0.673037708876304,0.226257570661163,0.088355114431198,0.000203885458263664,0.00965294756913504,0.00249277300393691
"1","10","1","0","0",0.162271875432021,0.294347916127051,0.426088183898332,0.00173371597883676,0.0896889618436758,0.0258693467200833
"0","11","1","0","0",0.867150908781493,0.0987391595909306,0.0301821591101452,6.53891858950484e-05,0.00307492027150913,0.000787463060026639
"1","11","1","0","0",0.380511493231198,0.346613485510361,0.232656203820257,0.000645555821710442,0.0312680269772441,0.00830523463923027
"0","12","1","0","0",0.251744804527552,0.341678175238866,0.335510442092977,0.0011046033928227,0.0549025745137293,0.0150594002340533
"1","12","1","0","0",0.0306882882971496,0.090072761628685,0.43081557717016,0.00416486884417588,0.304488552455224,0.139769951604605
