"Flowering_Week","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"3","2","1","0","0",358.462541753462,36.9377491056925,0
"4","2","1","0","0",388.124309074471,20.9458255813588,0
"5","2","1","0","0",397.828208989492,15.9842186146842,4
"6","2","1","0","0",398.975063206387,18.700368870308,0
"7","2","1","0","0",390.485801360438,21.3793082282168,0
"8","2","1","0","0",383.714646390047,23.0588469930859,0
"9","2","1","0","0",377.283924595437,35.9226991590767,0
"1","3","1","0","0",354.178529245192,34.40737782241,0
"3","3","1","0","0",339.664066772726,35.5602818840408,0
"4","3","1","0","0",369.325834093734,20.9174156619976,3
"5","3","1","0","0",379.029734008755,15.8359491040843,2
"6","3","1","0","0",380.176588225651,17.2984766012947,2
"7","3","1","0","0",371.687326379701,19.8840402346905,2
"8","3","1","0","0",364.91617140931,21.377548328689,3
"9","3","1","0","0",358.4854496147,34.7333290610607,2
"1","8","0","1","0",339.035416379137,46.2233086896702,0
"3","8","0","1","0",324.520953906671,49.7618738637163,0
"4","8","0","1","0",354.182721227679,38.7738030899985,0
"5","8","0","1","0",363.8866211427,34.7259241231547,0
"6","8","0","1","0",365.033475359596,36.3320346619389,0
"7","8","0","1","0",356.544213513647,37.678425243601,0
"8","8","0","1","0",349.773058543255,39.1454096534791,0
"9","8","0","1","0",343.342336748645,48.6266768800941,0
"1","9","0","1","0",338.777680962768,89.1550389412035,0
"3","9","0","1","0",324.263218490302,91.4452050076157,0
"4","9","0","1","0",353.92498581131,85.6771362491064,0
"5","9","0","1","0",363.628885726331,84.4290102304381,0
"6","9","0","1","0",364.775739943227,83.186683304067,0
"7","9","0","1","0",356.286478097277,85.2143516377106,0
"8","9","0","1","0",349.515323126886,85.6478311137807,0
"9","9","0","1","0",343.084601332276,90.0709432939586,0
"1","1","0","1","0",390.770838923997,39.6121628744636,0
"3","1","0","1","0",376.256376451531,42.9146362490671,0
"4","1","0","1","0",405.918143772539,29.3194242461416,0
"5","1","0","1","0",415.622043687561,24.1414831172511,0
"6","1","0","1","0",416.768897904456,25.9395043713726,0
"7","1","0","1","0",408.279636058507,27.214227554648,1
"8","1","0","1","0",401.508481088116,27.2117060329474,1
"9","1","0","1","0",395.077759293505,41.5173956622436,0
"1","2","0","1","0",387.147391259429,32.5153703297271,2
"3","2","0","1","0",372.632928786962,39.0737282751022,0
"4","2","0","1","0",402.294696107971,20.3984981768794,2
"5","2","0","1","0",411.998596022992,15.6863857362677,4
"6","2","0","1","0",413.145450239887,18.9737853886803,0
"7","2","0","1","0",404.656188393938,19.9297961502286,1
"8","2","0","1","0",397.885033423547,22.8480978075738,0
"9","2","0","1","0",391.454311628937,36.1977259765233,0
"1","3","0","1","0",368.348916278692,33.6522699371039,0
"3","3","0","1","0",353.834453806226,38.3505970963346,0
"4","3","0","1","0",383.496221127234,21.4192696938003,0
"5","3","0","1","0",393.200121042255,16.8884710505019,0
"6","3","0","1","0",394.346975259151,18.7993017547775,3
"7","3","0","1","0",385.857713413201,19.4774928565994,2
"8","3","0","1","0",379.08655844281,22.1630421867322,1
"9","3","0","1","0",372.6558366482,35.6386716406966,1
"1","8","1","1","0",336.038514044426,47.1128319499694,0
"3","8","1","1","0",321.52405157196,49.6921292080043,0
"4","8","1","1","0",351.185818892968,40.0893147626605,0
"5","8","1","1","0",360.88971880799,36.2696822118544,1
"6","8","1","1","0",362.036573024885,37.3739933670588,0
"7","8","1","1","0",353.547311178936,39.31788915885,0
"8","8","1","1","0",346.776156208545,40.4370625111998,0
"9","8","1","1","0",340.345434413935,49.4746730087867,0
"1","9","1","1","0",335.780778628057,89.2355708282462,0
"3","9","1","1","0",321.266316155591,91.0309320944883,0
"4","9","1","1","0",350.928083476599,85.8816539910331,0
"5","9","1","1","0",360.631983391621,84.6711242062082,0
"6","9","1","1","0",361.778837608516,83.2355956365164,0
"7","9","1","1","0",353.289575762567,85.5515041855798,0
"8","9","1","1","0",346.518420792176,85.8468716168538,0
"9","9","1","1","0",340.087698997565,90.1515715620016,0
"1","1","1","1","0",387.773936589287,37.4606554565841,0
"3","1","1","1","0",373.25947411682,39.8231366256436,0
"4","1","1","1","0",402.921241437829,26.7306300285137,0
"5","1","1","1","0",412.62514135285,21.0609553477681,5
"6","1","1","1","0",413.771995569745,22.3787648469577,3
"7","1","1","1","0",405.282733723796,24.8595947671014,0
"8","1","1","1","0",398.511578753405,24.3807806343005,3
"9","1","1","1","0",392.080856958795,39.4719685222175,0
"1","2","1","1","0",384.150488924718,32.5444802657906,1
"3","2","1","1","0",369.636026452252,37.9300550497718,0
"4","2","1","1","0",399.29779377326,20.945483998119,2
"5","2","1","1","0",409.001693688281,16.5690059742404,1
"6","2","1","1","0",410.148547905177,18.8592786040701,2
"7","2","1","1","0",401.659286059228,21.0308980698701,1
"8","2","1","1","0",394.888131088836,23.3173266260535,0
"9","2","1","1","0",388.457409294226,36.2261528562223,0
"1","3","1","1","0",365.352013943981,33.3251724547069,0
"3","3","1","1","0",350.837551471515,36.8632485211587,0
"4","3","1","1","0",380.499318792523,21.3915320952983,0
"5","3","1","1","0",390.203218707545,17.0260880726074,2
"6","3","1","1","0",391.35007292444,18.0355083954551,2
"7","3","1","1","0",382.860811078491,20.016807591112,0
"8","3","1","1","0",376.0896561081,22.1147133297629,0
"9","3","1","1","0",369.65893431349,35.3323033544293,0
"1","8","0","0","1",307.306850266388,48.9041962160691,0
"3","8","0","0","1",292.792387793922,49.0478832442655,0
"4","8","0","0","1",322.45415511493,40.9851094611354,0
"5","8","0","0","1",332.158055029951,35.7592099947173,0
"6","8","0","0","1",333.304909246847,37.1993028206047,0
"7","8","0","0","1",324.815647400898,39.534867768405,0
"8","8","0","0","1",318.044492430506,40.4268075383005,0
"9","8","0","0","1",311.613770635896,50.1374796706964,0
"1","9","0","0","1",307.049114850019,89.8121248736049,0
"3","9","0","0","1",292.534652377553,90.3008690079159,0
"4","9","0","0","1",322.196419698561,85.9040961288369,0
"5","9","0","0","1",331.900319613582,84.045581240871,0
"6","9","0","0","1",333.047173830478,82.7427720781646,0
"7","9","0","0","1",324.557911984529,85.2490377074619,0
"8","9","0","0","1",317.786757014137,85.4405366888576,0
"9","9","0","0","1",311.356035219527,90.1363337038797,0
"1","1","0","0","1",359.042272811248,43.7146131533382,0
"3","1","0","0","1",344.527810338782,43.1037652524481,0
"4","1","0","0","1",374.18957765979,33.5084742093434,0
"5","1","0","0","1",383.893477574812,27.248124973536,0
"6","1","0","0","1",385.040331791707,28.6957677877575,0
"7","1","0","0","1",376.551069945758,31.1572469300084,0
"8","1","0","0","1",369.779914975367,30.4837404243206,0
"9","1","0","0","1",363.349193180756,44.2687826819015,0
"1","2","0","0","1",355.41882514668,33.8906776900686,0
"3","2","0","0","1",340.904362674213,35.9514893561418,0
"4","2","0","0","1",370.566129995222,20.7068274886568,0
"5","2","0","0","1",380.270029910243,12.4577917786316,10
"6","2","0","0","1",381.416884127138,16.1269496474684,4
"7","2","0","0","1",372.927622281189,19.4124032646878,1
"8","2","0","0","1",366.156467310798,21.4546458725871,1
"9","2","0","0","1",359.725745516188,35.9970986954984,1
"1","3","0","0","1",336.620350165943,34.2930726200172,0
"3","3","0","0","1",322.105887693477,34.4779998614029,1
"4","3","0","0","1",351.767655014485,20.5832437234234,0
"5","3","0","0","1",361.471554929506,12.1064100436773,11
"6","3","0","0","1",362.618409146402,14.3421947627521,9
"7","3","0","0","1",354.129147300453,17.6416604969411,3
"8","3","0","0","1",347.357992330061,19.536568947842,3
"9","3","0","0","1",340.927270535451,34.7540141008865,0
"1","8","1","0","1",304.309947931677,51.3389631454523,0
"3","8","1","0","1",289.795485459211,50.5944910709109,0
"4","8","1","0","1",319.45725278022,44.097263076111,0
"5","8","1","0","1",329.161152695241,39.361976603988,0
"6","8","1","0","1",330.308006912136,40.2694776356543,0
"7","8","1","0","1",321.818745066187,43.014910318633,0
"8","8","1","0","1",315.047590095796,43.5679211865746,0
"9","8","1","0","1",308.616868301186,52.516668723745,0
"1","9","1","0","1",304.052212515308,90.7834124051978,0
"3","9","1","0","1",289.537750042842,90.7727717097812,0
"4","9","1","0","1",319.19951736385,87.0381790324501,0
"5","9","1","0","1",328.903417278872,85.2387546433684,0
"6","9","1","0","1",330.050271495767,83.7588830763544,0
"7","9","1","0","1",321.561009649818,86.5217697149852,0
"8","9","1","0","1",314.789854679427,86.575191381658,0
"9","9","1","0","1",308.359132884817,91.1050698040298,0
"1","1","1","0","1",356.045370476538,43.6599212547924,0
"3","1","1","0","1",341.530908004071,41.9904137445427,0
"4","1","1","0","1",371.19267532508,33.7455159779647,0
"5","1","1","0","1",380.896575240101,27.645198657604,0
"6","1","1","0","1",382.043429456996,28.5033748731034,0
"7","1","1","0","1",373.554167611047,31.7679613452082,0
"8","1","1","0","1",366.783012640656,30.7286187544525,0
"9","1","1","0","1",360.352290846046,44.2166409597773,0
"1","2","1","0","1",352.421922811969,36.2148586020717,0
"3","2","1","0","1",337.907460339503,36.9524895355072,0
"4","2","1","0","1",367.569227660511,24.7473501182065,0
"5","2","1","0","1",377.273127575532,18.566364713965,1
"6","2","1","0","1",378.419981792428,20.4154457116912,0
"7","2","1","0","1",369.930719946479,24.1451312013677,0
"8","2","1","0","1",363.159564976087,25.3576031648206,0
"9","2","1","0","1",356.728843181477,38.1954704195295,0
"1","3","1","0","1",333.623447831232,36.2650070746281,0
"3","3","1","0","1",319.108985358766,35.1839072519669,2
"4","3","1","0","1",348.770752679774,24.1562934766712,0
"5","3","1","0","1",358.474652594796,17.6713453354008,0
"6","3","1","0","1",359.621506811691,18.4013159424227,2
"7","3","1","0","1",351.132244965742,22.2164827197026,0
"8","3","1","0","1",344.361089995351,23.2504127732241,0
"9","3","1","0","1",337.930368200741,36.7034371868009,0
"1","8","0","1","1",318.480334965178,47.8664187824732,0
"3","8","0","1","1",303.965872492711,49.7286081003761,0
"4","8","0","1","1",333.62763981372,40.8988109111509,0
"5","8","0","1","1",343.331539728741,35.9263922412584,0
"6","8","0","1","1",344.478393945636,37.1847357082643,0
"7","8","0","1","1",335.989132099687,39.2578332125895,0
"8","8","0","1","1",329.217977129296,40.4877995184769,0
"9","8","0","1","1",322.787255334686,50.2852716945271,0
"1","9","0","1","1",318.222599548808,88.9978992456433,0
"3","9","0","1","1",303.708137076342,90.4230126281404,0
"4","9","0","1","1",333.36990439735,85.5995439498577,0
"5","9","0","1","1",343.073804312372,83.8479513312559,0
"6","9","0","1","1",344.220658529267,82.4628245140795,0
"7","9","0","1","1",335.731396683318,84.8551989299232,0
"8","9","0","1","1",328.960241712927,85.2047833639401,0
"9","9","0","1","1",322.529519918317,89.9679664744426,0
"1","1","0","1","1",370.215757510038,40.9036879426789,0
"3","1","0","1","1",355.701295037571,42.281731710546,0
"4","1","0","1","1",385.36306235858,31.2781397287274,0
"5","1","0","1","1",395.066962273601,24.8397970854562,1
"6","1","0","1","1",396.213816490496,26.1712470648622,0
"7","1","0","1","1",387.724554644547,28.4871265659857,0
"8","1","0","1","1",380.953399674156,28.227012187153,0
"9","1","0","1","1",374.522677879546,42.861841379566,0
"1","2","0","1","1",366.592309845469,31.6783090038431,1
"3","2","0","1","1",352.077847373003,36.2644838280377,0
"4","2","0","1","1",381.739614694011,19.4182859331444,1
"5","2","0","1","1",391.443514609033,11.0699920306088,17
"6","2","0","1","1",392.590368825928,14.6409880751929,7
"7","2","0","1","1",384.101106979979,17.6175108095507,3
"8","2","0","1","1",377.329952009587,20.5085484410585,0
"9","2","0","1","1",370.899230214977,35.5808429311042,0
"1","3","0","1","1",347.793834864733,32.4195270408016,1
"3","3","0","1","1",333.279372392266,35.0914427119885,0
"4","3","0","1","1",362.941139713275,19.800018254811,3
"5","3","0","1","1",372.645039628296,11.5752748770944,19
"6","3","0","1","1",373.791893845191,13.4183551255477,7
"7","3","0","1","1",365.302631999242,16.2738178827141,4
"8","3","0","1","1",358.531477028851,19.0276097466694,4
"9","3","0","1","1",352.100755234241,34.6138764384419,1
"1","8","1","1","1",315.483432630467,50.299601819997,0
"3","8","1","1","1",300.968970158001,51.2038016797875,0
"4","8","1","1","1",330.630737479009,43.957812890195,0
"5","8","1","1","1",340.33463739403,39.4479014534385,0
"6","8","1","1","1",341.481491610926,40.1912233613722,0
"7","8","1","1","1",332.992229764976,42.6994306248117,0
"8","8","1","1","1",326.221074794585,43.5647341953327,0
"9","8","1","1","1",319.790352999975,52.6082630618359,0
"1","9","1","1","1",315.225697214098,89.9490046117172,0
"3","9","1","1","1",300.711234741631,90.8656014117606,0
"4","9","1","1","1",330.37300206264,86.7075542780261,0
"5","9","1","1","1",340.076901977661,85.0132441232894,0
"6","9","1","1","1",341.223756194556,83.4511159706089,0
"7","9","1","1","1",332.734494348607,86.1034851610685,0
"8","9","1","1","1",325.963339378216,86.3123440074911,0
"9","9","1","1","1",319.532617583606,90.9098303201983,0
"1","1","1","1","1",367.218855175327,40.7813704406994,0
"3","1","1","1","1",352.704392702861,41.0827490660392,0
"4","1","1","1","1",382.366160023869,31.4491843543114,0
"5","1","1","1","1",392.07005993889,25.17140004792,0
"6","1","1","1","1",393.216914155786,25.8595558747371,0
"7","1","1","1","1",384.727652309837,29.0642887172635,0
"8","1","1","1","1",377.956497339445,28.3996648605868,0
"9","1","1","1","1",371.525775544835,42.7470564010711,0
"1","2","1","1","1",363.595407510759,34.0769772353672,1
"3","2","1","1","1",349.080945038292,37.1870521840847,0
"4","2","1","1","1",378.742712359301,23.5693790476179,0
"5","2","1","1","1",388.446612274322,17.5169978344121,3
"6","2","1","1","1",389.593466491217,19.1274048781794,0
"7","2","1","1","1",381.104204645268,22.612160759774,0
"8","2","1","1","1",374.333049674877,24.4559590853942,0
"9","2","1","1","1",367.902327880267,37.7344192567535,0
"1","3","1","1","1",344.796932530022,34.4230854054535,0
"3","3","1","1","1",330.282470057555,35.7123420341164,0
"4","3","1","1","1",359.944237378564,23.3812848689909,0
"5","3","1","1","1",369.648137293585,17.1605779966313,2
"6","3","1","1","1",370.79499151048,17.5427848118904,3
"7","3","1","1","1",362.305729664531,21.0230405675794,1
"8","3","1","1","1",355.53457469414,22.7099376358434,1
"9","3","1","1","1",349.10385289953,36.4994303267513,0
"1","8","0","0","2",289.08619173712,49.9207085102497,0
"3","8","0","0","2",274.571729264653,49.0213959474328,0
"4","8","0","0","2",304.233496585662,40.9389328343969,0
"5","8","0","0","2",313.937396500683,36.4518736105995,0
"6","8","0","0","2",315.084250717578,38.4925239345947,0
"7","8","0","0","2",306.594988871629,40.0212484221656,0
"8","8","0","0","2",299.823833901238,41.1888718952086,0
"9","8","0","0","2",293.393112106628,50.7128522825539,0
"1","9","0","0","2",288.828456320751,89.4138403423555,0
"3","9","0","0","2",274.313993848284,89.3297805510982,0
"4","9","0","0","2",303.975761169293,84.8757391462435,0
"5","9","0","0","2",313.679661084314,83.3176935363875,0
"6","9","0","0","2",314.826515301209,82.2946713920537,0
"7","9","0","0","2",306.33725345526,84.4645092668062,0
"8","9","0","0","2",299.566098484869,84.7964742767755,0
"9","9","0","0","2",293.135376690259,89.5027681823892,0
"1","1","0","0","2",340.82161428198,45.3620663239012,0
"3","1","0","0","2",326.307151809513,43.6076818488727,0
"4","1","0","0","2",355.968919130522,34.136897857285,0
"5","1","0","0","2",365.672819045543,28.961547476831,0
"6","1","0","0","2",366.819673262438,31.1066919624648,0
"7","1","0","0","2",358.330411416489,32.4924840457516,0
"8","1","0","0","2",351.559256446098,32.2140925360463,0
"9","1","0","0","2",345.128534651488,45.4317572458136,0
"1","2","0","0","2",337.198166617411,36.0781292876998,0
"3","2","0","0","2",322.683704144945,36.6402598898942,0
"4","2","0","0","2",352.345471465953,21.8537497172758,0
"5","2","0","0","2",362.049371380975,16.0565006853583,1
"6","2","0","0","2",363.19622559787,20.2623153028132,0
"7","2","0","0","2",354.706963751921,21.6363722536065,0
"8","2","0","0","2",347.93580878153,23.9811358730477,0
"9","2","0","0","2",341.505086986919,37.5021903544104,0
"1","3","0","0","2",318.399691636675,36.1086011037981,0
"3","3","0","0","2",303.885229164208,34.8352464848561,0
"4","3","0","0","2",333.546996485217,21.1482022777765,1
"5","3","0","0","2",343.250896400238,14.9647140884276,4
"6","3","0","0","2",344.397750617133,18.1918754518306,0
"7","3","0","0","2",335.908488771184,19.423754894939,0
"8","3","0","0","2",329.137333800793,21.7079119180267,0
"9","3","0","0","2",322.706612006183,35.9614728334806,0
"1","8","1","0","2",286.089289402409,52.7700473393833,0
"3","8","1","0","2",271.574826929943,51.046419711293,0
"4","8","1","0","2",301.236594250951,44.6017674942022,0
"5","8","1","0","2",310.940494165972,40.5945220587071,0
"6","8","1","0","2",312.087348382868,42.048176254029,0
"7","8","1","0","2",303.598086536919,44.0171454577486,0
"8","8","1","0","2",296.826931566527,44.8206669462405,0
"9","8","1","0","2",290.396209771917,53.5215754763193,0
"1","9","1","0","2",285.83155398604,90.6574711047776,0
"3","9","1","0","2",271.317091513574,90.0765833184395,0
"4","9","1","0","2",300.978858834582,86.3050056596874,0
"5","9","1","0","2",310.682758749603,84.8077570272025,0
"6","9","1","0","2",311.829612966499,83.6069921195024,0
"7","9","1","0","2",303.340351120549,86.0314103044475,0
"8","9","1","0","2",296.569196150158,86.2215317167798,0
"9","9","1","0","2",290.138474355548,90.7460887942594,0
"1","1","1","0","2",337.824711947269,45.8417976384849,0
"3","1","1","0","2",323.310249474803,43.0746121567839,0
"4","1","1","0","2",352.972016795811,35.0685304628619,0
"5","1","1","0","2",362.675916710833,30.1512844705299,0
"6","1","1","0","2",363.822770927728,31.7041575160192,0
"7","1","1","0","2",355.333509081779,33.8041843558113,0
"8","1","1","0","2",348.562354111387,33.1853788127424,0
"9","1","1","0","2",342.131632316777,45.9125561561987,0
"1","2","1","0","2",334.201264282701,38.8986039711072,0
"3","2","1","0","2",319.686801810234,38.2624825314708,0
"4","2","1","0","2",349.348569131243,26.641641065418,0
"5","2","1","0","2",359.052469046264,22.2678370228511,0
"6","2","1","0","2",360.199323263159,24.8154260255748,0
"7","2","1","0","2",351.71006141721,26.8851370322369,0
"8","2","1","0","2",344.938906446819,28.39600526893,0
"9","2","1","0","2",338.508184652209,40.2249817424354,0
"1","3","1","0","2",315.402789301964,38.6199302277902,0
"3","3","1","0","2",300.888326829498,36.2105134105816,0
"4","3","1","0","2",330.550094150506,25.6053721054801,0
"5","3","1","0","2",340.253994065527,20.9328922581388,0
"6","3","1","0","2",341.400848282423,22.635950145293,0
"7","3","1","0","2",332.911586436473,24.660863778248,0
"8","3","1","0","2",326.140431466082,26.0512885753747,0
"9","3","1","0","2",319.709709671472,38.4845470582559,0
"1","8","0","1","2",300.259676435909,48.0600899440724,0
"3","8","0","1","2",285.745213963443,48.8718563310252,0
"4","8","0","1","2",315.406981284451,39.8378115083117,0
"5","8","0","1","2",325.110881199472,35.4802074049361,1
"6","8","0","1","2",326.257735416368,37.3993623736751,0
"7","8","0","1","2",317.768473570419,38.7039208879233,0
"8","8","0","1","2",310.997318600027,40.244003004885,0
"9","8","0","1","2",304.566596805417,50.0475427572898,0
"1","9","0","1","2",300.00194101954,88.1326534738493,0
"3","9","0","1","2",285.487478547074,88.9944123539176,0
"4","9","0","1","2",315.149245868082,84.0819882976136,0
"5","9","0","1","2",324.853145783103,82.624322934012,0
"6","9","0","1","2",325.999999999999,81.5124867915007,1
"7","9","0","1","2",317.510738154049,83.5785926467937,0
"8","9","0","1","2",310.739583183658,84.073380543044,0
"9","9","0","1","2",304.308861389048,88.873749319062,0
"1","1","0","1","2",351.995098980769,41.6891210399998,0
"3","1","0","1","2",337.480636508303,41.8277616121713,0
"4","1","0","1","2",367.142403829311,30.6423472357776,0
"5","1","0","1","2",376.846303744333,25.1286271943701,0
"6","1","0","1","2",377.993157961228,27.3355965107134,0
"7","1","0","1","2",369.503896115279,28.5416420505214,0
"8","1","0","1","2",362.732741144888,28.6945118868569,0
"9","1","0","1","2",356.302019350277,43.1228287627318,0
"1","2","0","1","2",348.371651316201,32.782466467588,0
"3","2","0","1","2",333.857188843734,35.8222460621318,0
"4","2","0","1","2",363.518956164743,18.5473709293094,7
"5","2","0","1","2",373.222856079764,11.9699970578363,16
"6","2","0","1","2",374.369710296659,16.8215015995682,1
"7","2","0","1","2",365.88044845071,17.8826552463023,2
"8","2","0","1","2",359.109293480319,21.2958933869983,1
"9","2","0","1","2",352.678571685709,35.9825098946778,0
"1","3","0","1","2",329.573176335464,33.1204384821275,1
"3","3","0","1","2",315.058713862998,34.2679550392819,3
"4","3","0","1","2",344.720481184006,18.2685174013233,3
"5","3","0","1","2",354.424381099027,11.3791897703976,20
"6","3","0","1","2",355.571235315923,14.9472239517983,6
"7","3","0","1","2",347.081973469973,15.780135783851,11
"8","3","0","1","2",340.310818499582,19.2282946203315,4
"9","3","0","1","2",333.880096704972,34.6645055073913,1
"1","8","1","1","2",297.262774101198,50.9623407071202,0
"3","8","1","1","2",282.748311628732,50.8515999043069,0
"4","8","1","1","2",312.41007894974,43.5334335268908,0
"5","8","1","1","2",322.113978864762,39.6586486889032,0
"6","8","1","1","2",323.260833081657,40.9862684355729,0
"7","8","1","1","2",314.771571235708,42.7620091665413,0
"8","8","1","1","2",308.000416265317,43.894600604675,0
"9","8","1","1","2",301.569694470707,52.8423065143715,0
"1","9","1","1","2",297.005038684829,89.3649483722101,0
"3","9","1","1","2",282.490576212363,89.7149584301099,0
"4","9","1","1","2",312.152343533371,85.494039729436,0
"5","9","1","1","2",321.856243448393,84.0956806438141,0
"6","9","1","1","2",323.003097665288,82.8057296420957,0
"7","9","1","1","2",314.513835819339,85.1311843509141,0
"8","9","1","1","2",307.742680848948,85.4800033027148,0
"9","9","1","1","2",301.311959054337,90.0968234959114,0
"1","1","1","1","2",348.998196646059,42.1488235840857,0
"3","1","1","1","2",334.483734173592,41.2085076724494,0
"4","1","1","1","2",364.145501494601,31.5945350417562,0
"5","1","1","1","2",373.849401409622,26.3924950416695,0
"6","1","1","1","2",374.996255626517,27.9204104989566,0
"7","1","1","1","2",366.506993780568,29.9395033078235,0
"8","1","1","1","2",359.735838810177,29.6931606322073,0
"9","1","1","1","2",353.305117015567,43.5692985224032,0
"1","2","1","1","2",345.37474898149,35.7903234489495,0
"3","2","1","1","2",330.860286509024,37.4102847421518,0
"4","2","1","1","2",360.522053830032,23.8952463310897,0
"5","2","1","1","2",370.225953745053,19.3936419442763,0
"6","2","1","1","2",371.372807961949,21.9771251610684,0
"7","2","1","1","2",362.883546116,23.8590551884281,0
"8","2","1","1","2",356.112391145608,26.0679972284554,0
"9","2","1","1","2",349.681669350998,38.7448455927011,0
"1","3","1","1","2",326.576274000753,35.7689606957681,0
"3","3","1","1","2",312.061811528287,35.5919484329296,0
"4","3","1","1","2",341.723578849295,23.1714159256967,0
"5","3","1","1","2",351.427478764317,18.3988161916472,0
"6","3","1","1","2",352.574332981212,19.9912125012796,0
"7","3","1","1","2",344.085071135263,21.7870557971527,0
"8","3","1","1","2",337.313916164872,23.9154903249702,0
"9","3","1","1","2",330.883194370262,37.2054826991767,0
