"Flowering_Week","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"1","8","0","0","0",327.861931680348,46.6917468819455,0
"3","8","0","0","0",313.347469207881,48.4984853140503,0
"4","8","0","0","0",343.00923652889,38.1257507446554,0
"5","8","0","0","0",352.713136443911,33.7194876350023,3
"6","8","0","0","0",353.859990660806,35.5555748583587,1
"7","8","0","0","0",345.370728814857,37.2100877443448,0
"8","8","0","0","0",338.599573844466,38.3474452214948,0
"9","8","0","0","0",332.168852049856,47.8833021305402,0
"1","9","0","0","0",327.604196263979,89.6510528268815,0
"3","9","0","0","0",313.089733791512,91.0123609731516,0
"4","9","0","0","0",342.751501112521,85.6498808132458,0
"5","9","0","0","0",352.455401027542,84.2884164778592,0
"6","9","0","0","0",353.602255244437,83.1226309957571,0
"7","9","0","0","0",345.112993398488,85.2735478904991,0
"8","9","0","0","0",338.341838428097,85.5504516426722,0
"9","9","0","0","0",331.911116633487,89.9232844600366,0
"1","1","0","0","0",379.597354225208,41.8339307693339,0
"3","1","0","0","0",365.082891752741,43.0691809426618,0
"4","1","0","0","0",394.74465907375,30.7769890869804,0
"5","1","0","0","0",404.448558988771,25.5216496844103,0
"6","1","0","0","0",405.595413205666,27.4676064340842,0
"7","1","0","0","0",397.106151359717,29.03395319025,0
"8","1","0","0","0",390.334996389326,28.5669347087443,0
"9","1","0","0","0",383.904274594716,42.3010687388873,0
"1","2","0","0","0",375.973906560639,33.8439164520728,0
"3","2","0","0","0",361.459444088173,38.0427606925907,0
"4","2","0","0","0",391.121211409181,20.2706734994728,1
"5","2","0","0","0",400.825111324203,14.893392833583,8
"6","2","0","0","0",401.971965541098,18.6768066134492,0
"7","2","0","0","0",393.482703695149,20.1682941311935,0
"8","2","0","0","0",386.711548724758,22.4685434323138,1
"9","2","0","0","0",380.280826930147,35.8213441521036,0
"1","3","0","0","0",357.175431579903,34.6491409457529,0
"3","3","0","0","0",342.660969107436,37.0295830474224,0
"4","3","0","0","0",372.322736428445,20.8209729284966,2
"5","3","0","0","0",382.026636343466,15.5208643533611,4
"6","3","0","0","0",383.173490560361,17.9487783147216,0
"7","3","0","0","0",374.684228714412,19.2057898763604,1
"8","3","0","0","0",367.913073744021,21.3055540350291,0
"9","3","0","0","0",361.482351949411,34.9704814168854,0
"1","8","1","0","0",324.865029345637,47.6272687452509,0
"3","8","1","0","0",310.350566873171,48.4807129245528,0
"4","8","1","0","0",340.012334194179,39.5288635687956,0
"5","8","1","0","0",349.7162341092,35.3810220461203,0
"6","8","1","0","0",350.863088326096,36.6907396239451,0
"7","8","1","0","0",342.373826480146,38.9363087892392,0
"8","8","1","0","0",335.602671509755,39.7307477368688,0
"9","8","1","0","0",329.171949715145,48.7976743397578,0
"1","9","1","0","0",324.607293929268,89.7601818097695,0
"3","9","1","0","0",310.092831456801,90.6248738599558,0
"4","9","1","0","0",339.75459877781,85.8848166606296,0
"5","9","1","0","0",349.458498692831,84.561761401451,0
"6","9","1","0","0",350.605352909726,83.2029129214266,0
"7","9","1","0","0",342.116091063777,85.640906968179,0
"8","9","1","0","0",335.344936093386,85.7801084243326,0
"9","9","1","0","0",328.914214298776,90.0329992304768,0
"1","1","1","0","0",376.600451890497,39.8681308362514,0
"3","1","1","0","0",362.085989418031,40.0547548551461,0
"4","1","1","0","0",391.747756739039,28.4136205713971,0
"5","1","1","0","0",401.451656654061,22.7446712175201,2
"6","1","1","0","0",402.598510870956,24.2411523113048,1
"7","1","1","0","0",394.109249025007,26.9363795184344,0
"8","1","1","0","0",387.338094054615,25.985151738775,0
"9","1","1","0","0",380.907372260005,40.3600719277713,0
"1","2","1","0","0",372.977004225929,33.9487466929957,0
