"Burst_Month","Position_A","Position_Ancestor_A","1","2","3","4","5","6","7","8","9","10","11","12"
"8","0","0",0.0466029301906837,0.0061565866592382,0.0300742078767765,0.182543607272239,0.471730897201361,0.0927085504950381,0.0873556916598663,0.0508525432848329,0.0160841150919054,0.0110207585669805,0.002607225757982,0.00226288594309654
"1","0","0",0.00915006829581898,0.00126282998067091,0.00636310959884497,0.0471099345973799,0.282391801494442,0.133207681040115,0.197095111762703,0.174597466981974,0.0700796268547711,0.0534915775073034,0.0133880043731958,0.0118627875127809
"2-3","0","0",0.01566515989204,0.00214583548193777,0.0107534420598027,0.0766707456570923,0.371988929817412,0.136304807426795,0.169325052328906,0.125036477749309,0.0448565432316055,0.0324439629849758,0.00789106668803585,0.00691797668208716
"8","1","0",0.0523093121840619,0.0068636530154867,0.0333728540283689,0.197185359998514,0.470237279032816,0.0863279435934777,0.0796515171891484,0.0456317451339312,0.0143220901059593,0.00978297532551464,0.00231078847443189,0.00200448191828939
"1","1","0",0.0103201066170357,0.00142239698650792,0.00716008441674619,0.0526471682411004,0.302723616048069,0.135577826885774,0.19272914714618,0.163342990521407,0.0637101313327083,0.0479401809189953,0.0119066434852922,0.0105197074001834
"2-3","1","0",0.0176534536904511,0.00241264258086459,0.0120704179338566,0.0851015515844082,0.39034826437004,0.13432847327466,0.160885708078381,0.114760408973687,0.040365355049136,0.028936895517642,0.00700556492900906,0.00613126401786401
"8","0","1",0.0557338849648384,0.00728312137285003,0.0353142583126604,0.205386557852118,0.468264877127595,0.0828324689268619,0.0755999411833019,0.0429581688913473,0.0134304960262773,0.009159613168916,0.00216185046718942,0.00187476170604373
"1","0","1",0.011027728548787,0.00151869050785678,0.00764026525574855,0.0559460809404,0.313966956386724,0.136486165978506,0.189809199265277,0.157121801946665,0.0603773121245932,0.0451029581353966,0.011158481476467,0.00984435943357842
"2-3","0","1",0.018854324152162,0.0025731819472078,0.0128606960697186,0.0900673952582333,0.399970604718,0.132846198795017,0.156025456177954,0.109293848461253,0.0380548629385417,0.0271578776143745,0.00655954013942983,0.00573601372810884
"8","1","1",0.0624850468735011,0.00809939464218964,0.0390587531747959,0.220366400212741,0.462653774835738,0.0765921150008846,0.0686270594291426,0.0384653463158623,0.0119481451925241,0.00812757592819124,0.00191578370164935,0.00166060469277995
"1","1","1",0.0124348540201613,0.00170970212824959,0.00859105908888923,0.0623964968862745,0.334233349484449,0.137378583058736,0.183678132869712,0.145922242288613,0.0546675309042188,0.0403435810440859,0.00991668511609778,0.00872778311051281
"2-3","1","1",0.0212386674003975,0.00289058726479302,0.0144183970877083,0.0996548148270547,0.416304060414807,0.129497208146561,0.1469552046849,0.0997872024904348,0.0341563092440619,0.0241935309132661,0.00582099155784488,0.00508302596817056
