"Nb_Inflorescences","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"3","10","1","0","1",0.173641541295095,0
"4","10","1","0","1",0.260407899668274,0
"5","10","1","0","1",0.657902813254704,0
"6","10","1","0","1",0.619973931852209,0
"1","12","1","0","1",0.30644217064352,1
"2","12","1","0","1",0.54001832674773,1
"3","12","1","0","1",0.387023686171894,0
"4","12","1","0","1",0.514082676951665,0
"5","12","1","0","1",0.852476421569532,0
"6","12","1","0","1",0.830564429160733,0
"1","1-2","1","0","1",0.465885787119071,34
"2","1-2","1","0","1",0.698581630678556,6
"3","1-2","1","0","1",0.554852340111613,1
"4","1-2","1","0","1",0.676226085237234,1
"5","1-2","1","0","1",0.919405281745994,0
"6","1-2","1","0","1",0.906342192845579,0
"1","3-4-5","1","0","1",0.411416810273227,1
"2","3-4-5","1","0","1",0.65001623101156,0
"3","3-4-5","1","0","1",0.499713431308638,0
"4","3-4-5","1","0","1",0.625987160901292,0
"5","3-4-5","1","0","1",0.901397672275544,0
"6","3-4-5","1","0","1",0.885778450874003,0
"1","10","0","1","1",0.0620687755364169,1
"2","10","0","1","1",0.149540239682632,0
"3","10","0","1","1",0.0863950078485017,0
"4","10","0","1","1",0.136781580879697,0
"5","10","0","1","1",0.463945070184519,0
"6","10","0","1","1",0.423360006956711,0
"1","12","0","1","1",0.165862601763827,10
"2","12","0","1","1",0.345695073082025,0
"3","12","0","1","1",0.221271289921583,0
"4","12","0","1","1",0.322547895767243,0
"5","12","0","1","1",0.722265004325672,0
"6","12","0","1","1",0.688088922179173,0
"1","1-2","0","1","1",0.281890774157888,14
"2","1-2","0","1","1",0.51052843851183,0
"3","1-2","0","1","1",0.359361417232305,0
"4","1-2","0","1","1",0.484517241692531,0
"5","1-2","0","1","1",0.836970967430653,0
"6","1-2","0","1","1",0.813260414183502,0
"1","3-4-5","0","1","1",0.239295777242851,0
"2","3-4-5","0","1","1",0.455289179640329,0
"3","3-4-5","0","1","1",0.310115560352509,0
"4","3-4-5","0","1","1",0.429622111556321,0
"5","3-4-5","0","1","1",0.804461974076427,0
"6","3-4-5","0","1","1",0.777281522180942,0
"1","10","1","1","1",0.134902624722317,0
"2","10","1","1","1",0.292956747895127,0
"3","10","1","1","1",0.182228183105015,0
"4","10","1","1","1",0.271873545964948,0
"5","10","1","1","1",0.670991800380893,0
"6","10","1","1","1",0.63370614809491,0
"1","12","1","1","1",0.319060293869206,2
"2","12","1","1","1",0.554563920873944,0
"3","12","1","1","1",0.401041233974309,0
"4","12","1","1","1",0.52873268506139,0
"5","12","1","1","1",0.859708312860312,0
"6","12","1","1","1",0.838667200314033,0
"1","1-2","1","1","1",0.480520540783355,32
"2","1-2","1","1","1",0.71079837448901,3
"3","1-2","1","1","1",0.56930297310424,1
"4","1-2","1","1","1",0.688945467762389,0
"5","1-2","1","1","1",0.923650043908215,2
