"Burst_Month","Position_A","probability","number"
"10","0",0.470588235294111,51
"12-1-2-3-4","0",0.732919254658383,322
"5","0",4.72103194200537e-07,2
"10","1",0.692307692307711,13
"12-1-2-3-4","1",0.914373088685015,327
"5","1",0.199999999999982,5
