"Burst_Month","Position_A","probability","number"
"9-10","0",0.147540983606557,61
"12","0",0.291139240506663,79
"1-2-3-4-5","0",0.714285714285324,245
"9-10","1",0.130434782609554,23
"12","1",0.617021276595742,47
"1-2-3-4-5","1",0.751748251747704,286
